Code	Name	Address	Tel No	Fax No	Email	Contact Person	Created By	Date Created                                                                                                                                                                                                                                                                                                                                                                                                                                                    
002-BLS	BEST LINDETEVES SYSTEM	g/f el-al bldg 100-1 quezon ave tatalon quezon city	7314149/7314076			ROBERT INOCENCIO	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                           
002-BET	BETH FLORES HOLLOW BLOCK FACTORY (GENSAN)	national hioghway general santos city					TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
002-BES	BHOBET ELECTRICAL SHOP(GENSAN)	quezon ave brgy north gen san city	03162722911			ROBERT A CARBONILLA	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                     
002-BIS	BISMAC(BUS MACHINE CORP)	carson bldg orense corner del carmen st guadalupe nuevo makati city	8823355 to 64	8820646/8820635		ELMER ROQUE	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                 
002-BJM	BJM ORTHOTECH MEDICAL SUPPLIES	1369 rizal ave cor bambang st sta cruz manila	4950082	4950083		BENIGNO E MEDINA JR	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                       
002-BON	BONNEREZ L CRUZ GEN MDSE	398 m sioson st dampalit malabon m m				BOY BONNEREZ	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                           
002-BST	BOSTON INDUSTRIAL SUPPLY	1415 severino reyes st sta cruz manila (cor banbang)	7326525	7326543		TONY/RUDY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                
002-BOY	BOY AMADEJOS LOCKSMITH	bayan malabon	2359898/09185677822			BOY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                          
002-BYG	BOY GONZALES	ARELLANO MALABON	9232827			BOY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                             
002-BOR	BOY R RUBBER STAMP	ronquillo st corner avenida sta cruz maniala				BOY R	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                
002-BRG	BRIDGEPORT HARDWARE CORP.	379 estrella st tanong malabon city	2815188/281-8006	2818005		JIMMY	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                           
002-BVS	BRILLANTS VULCANIZING SHOP	327 h lopez balut tondo manila					TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                           
002-BUD	BUILDERS AID INC	a bonifacio st corner ligaya st balintawak quezon city	3679669	3676579		KENNETH DELBERT LIM	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                            
002-BUX	BUILDEX	general santos city	5525324/3013570			RODELINE	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                  
002-BCC	BULK COMMODITIES & CHEMICAL CORP	7746 st paul road san antonio vill makati city	8952234	8977737		TING ALMENDRAL	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                         
002-BMC	BUSINESS MACHINES CORP	552 plaza san lorenzo ruis binondo manila (in front of binondo church)	2425071/2425076	2425013		EMMA TAN LIAO	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                    
002-BOS	BUSINESS MATE OFFICE SUPPLIES CORP	48 f balagtas st parang marikina city	4754454/4754587	4754543		MAROVIC/DING FERNANDO	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                 
003-CWB	CWB PLASTIC CORP	dampol 1st pulilan bulacan/esguerra st longos pulilan bulacan	9273542/4557850			REGGIE CORTEZ	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                          
003-CES	CABOVERDE MACHINE SHOP AND ENGINEERING SERVICES(GENSAN)	national highway capopong gen san city	(083)5529425				TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                          
003-CGC	CALOOCAN GAS CORP	#103 kitanlad st quezon city	7120069	7112417		JOSEPH USI	TPJ	05-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                              
